PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
33.7535,0.9721,0.0296,10.6335,6.1783,7.3023
34.075,0.966,0.0283,10.4148,6.5316,7.6947
34.512,0.9722,0.0293,10.5045,6.686,7.6896
33.511,0.9657,0.0302,10.423,6.6986,8.1544
33.7806,0.9672,0.029,10.5332,6.997,7.4101
33.8481,0.9598,0.0299,10.7215,6.8366,7.6944
33.9137,0.9612,0.033,10.4776,6.8341,7.5384
33.229,0.9648,0.0349,10.7146,6.5438,8.0913
33.6902,0.9701,0.0305,10.0758,6.9557,7.5885
34.3218,0.9729,0.0306,10.6949,6.5837,7.9363
33.4002,0.967,0.0321,10.8877,6.8643,7.9094
34.8796,0.9682,0.0318,10.7231,6.4069,7.0691
32.8354,0.9655,0.0298,10.8943,6.5198,7.4714
33.5237,0.9748,0.0239,10.6728,6.8783,7.3769
33.4145,0.9758,0.0283,11.1288,6.5239,7.9491
33.9113,0.972,0.0303,10.5857,6.1746,7.5374
34.4726,0.955,0.0325,10.8824,6.2787,7.1154
33.3788,0.9693,0.033,10.1478,6.8398,7.3736
34.1055,0.9704,0.0288,10.7534,7.006,7.8233
33.4835,0.9594,0.0297,10.2051,6.7476,7.199
34.2978,0.9675,0.0295,10.3996,6.5211,7.8072
33.6677,0.9579,0.0277,10.3883,6.7922,7.7181
34.0398,0.9723,0.0252,10.3601,6.1289,7.748
34.9927,0.9749,0.0292,10.1028,7.1238,7.4729
32.9865,0.9746,0.0268,10.3653,6.4859,6.8058
34.5591,0.9638,0.0277,10.6683,6.7934,7.364
33.7338,0.9669,0.0281,9.9259,6.6409,7.562
34.1689,0.9573,0.028,10.3848,6.764,7.3436
34.3959,0.9712,0.0312,10.5996,6.4766,7.602
33.8104,0.9609,0.0322,10.2809,6.5974,7.7786
34.82,0.9721,0.0282,11.1959,6.9249,7.8716
33.282,0.9776,0.0256,10.1579,6.4581,7.7585
33.4246,0.9673,0.0282,11.1757,6.8473,7.4883
33.9373,0.9752,0.027,10.4339,6.8515,7.5855
33.7252,0.9571,0.033,10.8061,6.2948,7.4106
33.1723,0.9708,0.0309,10.9887,7.0708,7.7458
34.5597,0.9643,0.0301,10.7944,6.3389,7.6424
34.5682,0.9731,0.0272,10.5472,6.7723,8.0059
32.6292,0.9675,0.0311,11.1051,6.7902,7.4216
33.375,0.9683,0.0263,10.7067,6.5421,7.601
34.2706,0.9651,0.0311,10.9432,6.8244,7.5353
32.6821,0.9665,0.0311,10.5961,6.6339,7.1465
34.6261,0.9625,0.0321,10.3448,6.5016,8.2977
34.6545,0.9713,0.0295,10.7059,6.2167,7.4348
32.3226,0.9682,0.0312,10.8743,7.2932,7.7884
33.1888,0.9657,0.0276,11.1065,7.2026,8.0091
33.5334,0.9678,0.0324,10.1778,6.6641,7.8436
34.1914,0.9659,0.0341,10.4953,6.4494,7.8028
33.7129,0.9716,0.0334,10.3688,7.2411,7.4081
33.4161,0.9641,0.0341,10.4425,6.7269,7.9036
