PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
34.1897,0.9704,0.0266,10.1205,6.3544,8.1361
34.0085,0.9739,0.0312,10.7626,6.2032,8.4599
34.4082,0.9702,0.0277,10.8069,6.4139,8.7425
34.93,0.976,0.0285,10.71,6.2884,8.8348
34.995,0.9677,0.0277,10.0928,6.2735,8.5554
34.0086,0.9774,0.0297,10.7031,6.6638,8.6216
33.9639,0.9753,0.026,10.3935,6.677,8.0324
34.2788,0.971,0.0257,10.4744,6.095,8.7167
34.6306,0.9694,0.0301,10.2985,6.2606,8.4941
34.3841,0.9691,0.0265,10.568,6.1852,8.763
33.8289,0.9689,0.031,10.1427,6.4653,8.6155
34.239,0.9639,0.0275,10.9199,6.6343,8.974
33.8427,0.9693,0.0285,10.7166,6.2923,8.6101
34.021,0.9713,0.0278,10.3437,6.4724,8.6256
33.8701,0.9742,0.027,10.4473,6.6623,8.7197
34.0976,0.976,0.0261,10.047,6.1709,8.5523
33.7857,0.9795,0.0287,10.6024,6.8047,8.3655
34.8486,0.9753,0.0298,11.1128,6.07,8.4996
34.7684,0.9667,0.0284,10.8408,6.5515,8.5377
34.94,0.9655,0.0278,10.8036,6.3349,8.6844
33.5906,0.9688,0.0255,10.6763,6.6384,8.4819
34.0503,0.964,0.0277,10.3087,6.2239,8.5715
33.7051,0.9698,0.0299,10.7248,6.832,8.3106
35.2291,0.9696,0.0273,10.4852,6.9428,8.4601
33.997,0.975,0.0293,10.6026,6.178,8.4688
34.6468,0.972,0.0261,10.7146,6.2147,8.5177
34.0101,0.975,0.0257,10.63,6.5542,8.5847
34.7401,0.9754,0.0304,10.9554,6.5271,8.9624
34.3189,0.9766,0.0302,10.379,6.4645,8.2139
34.1916,0.9706,0.0297,10.5439,6.6957,8.4985
35.1903,0.9633,0.031,10.3058,6.6851,8.984
34.1835,0.9755,0.0267,10.5142,6.6925,8.4619
34.0765,0.9739,0.0302,10.5192,6.4029,8.2628
33.8658,0.9663,0.0286,10.477,6.5823,8.4823
33.7434,0.98,0.027,10.2154,6.7216,8.3305
34.8585,0.9724,0.0285,10.7576,6.2029,9.005
34.04,0.9765,0.0307,11.0355,6.6554,8.8566
34.5934,0.972,0.0305,10.3419,6.028,8.5884
34.5054,0.9783,0.0268,10.7081,6.4058,8.3526
34.1902,0.9737,0.0286,10.3667,6.0498,8.6638
34.5869,0.9698,0.0282,10.3568,6.1594,8.5895
34.7879,0.9773,0.0276,10.8668,6.3392,8.5356
34.642,0.9742,0.0282,10.1301,6.5947,8.5855
35.0508,0.9655,0.0303,10.2937,6.2826,9.1065
35.0903,0.969,0.0272,10.9358,6.0484,9.2105
33.6848,0.9707,0.0288,10.1635,6.5335,8.2661
34.4168,0.97,0.027,10.7331,6.7391,8.6998
33.9426,0.9744,0.0256,10.6304,6.522,8.8017
34.3595,0.968,0.0273,10.539,6.1098,8.8106
34.0064,0.9696,0.0279,10.434,6.5219,8.5
