PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
33.8742,0.9469,0.0372,10.6214,6.3224,9.4995
33.5371,0.9441,0.0395,10.965,6.2334,9.2027
33.6183,0.9401,0.0384,10.3388,6.5729,9.1364
34.1575,0.944,0.0379,11.0089,6.3425,9.9059
33.63,0.9482,0.0408,10.1285,6.0472,9.8048
33.646,0.9517,0.0385,10.7915,6.2701,9.1952
33.7315,0.9405,0.0385,10.914,6.4387,9.8045
33.9714,0.9515,0.0375,11.0681,5.8951,9.2248
33.2477,0.9526,0.041,10.6695,5.8298,8.9105
33.4449,0.946,0.0401,11.3518,6.2801,9.5988
33.7756,0.9471,0.0379,10.8948,5.6032,9.4566
34.5121,0.9468,0.0397,11.1025,6.5686,9.0734
33.5649,0.9474,0.0394,10.9274,6.2289,9.3908
33.8735,0.935,0.0381,10.4338,6.8122,9.3237
33.7518,0.943,0.0376,11.2109,6.3104,9.7503
34.0353,0.9465,0.0378,10.6049,6.4204,9.5725
33.7752,0.9442,0.0387,10.7445,6.0837,9.0678
34.3903,0.9441,0.0376,10.4753,6.2096,8.9601
34.2448,0.9496,0.0379,10.6448,6.2043,9.3427
33.1054,0.9451,0.0381,11.0334,6.2768,9.4768
34.2155,0.9438,0.038,11.2323,6.1398,10.025
34.2525,0.9399,0.0376,11.296,6.2669,9.1037
34.3372,0.9489,0.0383,10.7529,5.5111,9.4133
33.6327,0.9477,0.0426,11.0512,5.9793,9.5728
33.5159,0.9485,0.0403,10.6672,5.9289,9.2502
34.0543,0.9462,0.0386,10.514,6.3174,9.6963
33.0494,0.9401,0.0375,10.6201,6.1752,9.4776
33.4884,0.9471,0.0399,11.392,6.3961,9.4286
33.3609,0.9404,0.0428,10.918,6.353,9.3467
33.7214,0.9502,0.0415,10.8087,6.1419,9.3885
34.5335,0.9371,0.0371,10.9389,6.329,9.0949
34.3526,0.9458,0.0371,10.9365,6.1393,9.2971
34.2296,0.9447,0.0383,11.3662,6.7268,9.815
34.0032,0.9452,0.0388,10.8274,5.9464,9.7197
34.3649,0.94,0.0399,10.9645,5.6069,9.3023
34.0284,0.9459,0.037,10.8626,6.3081,9.3315
34.1502,0.9455,0.04,10.8571,6.3471,9.8427
34.145,0.9496,0.0397,11.1692,6.5083,10.0273
33.6155,0.9512,0.0395,11.1829,6.2163,8.5468
33.8976,0.9491,0.0399,10.5735,6.0235,9.1969
33.7315,0.9541,0.0399,10.7841,6.1049,9.5251
33.6896,0.9506,0.0406,10.6196,6.0277,9.923
33.4231,0.9456,0.0399,10.7816,6.491,9.5534
33.5587,0.9587,0.0394,10.713,6.1987,9.7483
33.5607,0.9333,0.0435,11.0311,5.772,9.2436
33.5598,0.9419,0.0395,11.3776,6.0045,9.5194
34.157,0.9542,0.0395,11.0148,6.5258,9.3849
33.2685,0.9461,0.039,10.8571,5.9377,9.0701
33.3359,0.9496,0.0409,10.5459,6.0593,8.9501
33.1897,0.9397,0.0398,10.9704,6.3208,9.4201
