PSNR,SSIM,LPIPS,FID,LSE-D,LSE-C
33.0958,0.9394,0.0411,10.8002,6.1024,9.7161
33.9137,0.9423,0.0438,10.8009,6.5182,9.3482
32.9139,0.9449,0.0427,10.8846,6.4653,8.9366
33.9095,0.9393,0.0381,10.7957,6.095,9.2144
33.2444,0.9371,0.0417,10.9154,6.3362,9.3536
34.6016,0.9516,0.0387,11.0711,6.373,9.7728
33.7834,0.9435,0.0396,11.2773,6.7825,9.4929
33.5138,0.9471,0.0385,10.9194,6.2333,9.2785
33.016,0.9406,0.0403,11.1762,6.4473,9.3422
33.3379,0.9451,0.0403,10.8105,5.9841,9.775
32.9345,0.9416,0.0401,10.7582,5.9441,9.7306
34.1331,0.9421,0.0418,10.8477,6.418,9.2853
33.4312,0.942,0.0435,11.3704,6.2453,9.4453
32.8738,0.9385,0.0381,10.9314,6.4503,9.4768
33.6959,0.9386,0.0437,10.9468,6.0993,9.4394
35.1232,0.9411,0.0424,11.3828,6.3167,9.2973
34.4162,0.9468,0.0434,10.9689,6.6526,9.5042
33.0885,0.9434,0.0382,11.1877,6.2839,9.5069
33.0914,0.9503,0.0428,11.1635,6.1091,9.4177
33.234,0.9431,0.0419,11.322,6.222,9.7384
33.4312,0.9455,0.0379,10.7681,5.8657,9.5248
32.6329,0.9392,0.0378,10.9828,6.2935,9.5324
33.9098,0.9279,0.0377,10.745,5.8801,9.4997
32.8658,0.9399,0.043,10.9313,5.8248,9.0872
33.3057,0.9543,0.0396,11.1895,6.0916,9.5293
32.2764,0.9488,0.0405,10.8702,6.4383,9.6611
33.8199,0.9365,0.04,11.3046,6.1261,9.6237
33.9137,0.9521,0.0423,10.968,6.5761,9.5636
34.0482,0.9462,0.0395,11.3072,6.5126,9.6452
34.1022,0.936,0.0402,11.0797,6.2594,9.1901
33.6959,0.9408,0.0411,10.7644,6.1248,10.1659
33.2845,0.9431,0.0384,11.0514,6.2765,9.5275
33.7387,0.9458,0.0413,11.5551,6.4856,9.6896
33.2395,0.9406,0.0424,10.7442,6.0371,9.7485
33.1088,0.9447,0.043,11.2399,6.302,9.8168
32.94,0.9429,0.0412,11.1456,6.1773,9.4797
32.9529,0.9475,0.0422,10.9013,5.9286,9.399
33.1649,0.945,0.0417,11.3144,6.2914,9.6387
32.979,0.9412,0.0399,11.0325,6.2282,9.6846
33.8767,0.9485,0.0403,10.753,5.7599,9.4577
32.7466,0.9402,0.0409,10.8089,6.2058,9.5519
32.3262,0.9358,0.0433,11.397,6.3365,9.8451
34.2812,0.9446,0.0425,11.2052,6.2008,9.3042
33.152,0.9484,0.0377,11.1843,6.4864,9.365
33.0677,0.9442,0.038,11.2228,5.8485,9.1286
33.6922,0.9476,0.04,11.0429,6.362,8.7943
33.1717,0.9417,0.0408,11.5206,6.4833,9.7492
33.0113,0.9377,0.0402,11.275,6.1754,9.3308
33.6741,0.949,0.0391,11.0658,6.2935,9.4805
33.2554,0.9452,0.0406,10.9125,6.583,9.7047
